word,shift_t1,shift_t2,shift_t3,shift_t4,shift_t5,shift_t6,shift_t7,shift_t8,shift_t9,shift_t10,shift_t11
community,0.3768762350082397,0.3046191334724426,0.3657810688018799,0.3236290216445923,0.3631625175476074,0.3437458872795105,0.2969062328338623,0.3477811813354492,0.2696460485458374,0.410483717918396,0.4956492185592651
won,0.300961971282959,0.2072798609733581,0.220769464969635,0.2582208514213562,0.2425692081451416,0.2395243048667907,0.225601315498352,0.2284681797027588,0.1957044601440429,0.2146705985069275,0.2165201902389526
democracy,0.3411446213722229,0.2302397489547729,0.2406433820724487,0.2827003002166748,0.3595538139343261,0.3050863742828369,0.2708413600921631,0.3073098659515381,0.2822509407997131,0.2627961635589599,0.306304931640625
military,0.2314438819885254,0.206122875213623,0.24704110622406,0.2361114621162414,0.2987099289894104,0.284547209739685,0.2511399388313293,0.2597689628601074,0.2100027799606323,0.2474383115768432,0.3104690313339233
business,0.2082108259201049,0.1976615190505981,0.1770505905151367,0.2292721271514892,0.2481360435485839,0.2329647541046142,0.2544745802879333,0.2063380479812622,0.2335157990455627,0.2085691690444946,0.269298791885376
elections,0.2486035823822021,0.189674437046051,0.2123489379882812,0.2104941606521606,0.2412324547767639,0.2358443737030029,0.2118035554885864,0.2361276745796203,0.2052290439605713,0.2157237529754638,0.2120497226715088
opinion,0.2380042672157287,0.189020574092865,0.2007621526718139,0.1842300295829773,0.229918360710144,0.229633629322052,0.2472873926162719,0.2647311091423034,0.2026857733726501,0.2384312748908996,0.3140379190444946
progressive,0.3690623641014099,0.2960111498832702,0.3483994007110595,0.3910290598869324,0.498549222946167,0.4361070394515991,0.4451607465744018,0.4343752861022949,0.3671643733978271,0.3716368079185486,0.4457210302352905
jobs,0.1704009771347046,0.186005413532257,0.2002332210540771,0.2258855104446411,0.1906819343566894,0.2333922982215881,0.2294152975082397,0.2244606614112854,0.176141619682312,0.1638827323913574,0.2789942026138305
policies,0.251940369606018,0.2650866508483886,0.2642613649368286,0.2736014127731323,0.2902284860610962,0.2949293851852417,0.2666797637939453,0.3233272433280945,0.2718378901481628,0.2630434036254883,0.2945717573165893
police,0.3261650800704956,0.2443470358848571,0.257108211517334,0.254491925239563,0.2825379967689514,0.3267842531204223,0.2693277597427368,0.3660204410552978,0.2226806879043579,0.1849120259284973,0.3502830266952514
healthcare,0.292424201965332,0.2275353670120239,0.22322678565979,0.2483543157577514,0.285628080368042,0.2365947961807251,0.2391501069068908,0.2618714570999145,0.2303436398506164,0.261742353439331,0.2690203189849853
economy,0.1889733076095581,0.23392915725708,0.1788315176963806,0.2195082306861877,0.2021099328994751,0.231861412525177,0.2008091211318969,0.2231343984603881,0.2006779909133911,0.1999539136886596,0.2513981461524963
