word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
journalism,0.7879823,0.21201771,791,10964
supporters,0.78811467,0.21188533,15568,52861
speeches,0.7884533,0.21154672,1151,7053
prosecuted,0.78874004,0.21125996,1014,8250
blamed,0.78902024,0.21097976,907,9287
hillary,0.78903925,0.21096075,23572,79185
womens,0.7890412,0.21095878,1830,17231
economically,0.7891237,0.21087629,855,8215
chinese,0.78930503,0.21069497,1484,45710
unpopular,0.7895013,0.21049869,1386,9693
terrorism,0.78967035,0.21032965,1888,21339
nation,0.7899313,0.2100687,7956,68004
midterms,0.7910512,0.20894879,2886,11867
chief,0.7911083,0.20889169,1813,15351
vietnam,0.79122305,0.20877695,931,7682
favor,0.7912298,0.20877022,5673,40468
inequality,0.79197717,0.20802283,1652,8086
wing,0.7923691,0.20763087,9152,51653
msnbc,0.7924131,0.20758688,1480,16463
nato,0.7924297,0.20757031,990,15145
ideals,0.7924798,0.20752019,1711,14686
vaccines,0.7924868,0.20751321,1508,36646
paul,0.79268575,0.20731425,4154,31335
attacked,0.79269767,0.20730233,2160,22941
climate,0.79278034,0.20721966,6139,55672
cases,0.7928083,0.2071917,5012,83195
christianity,0.793326,0.20667398,1461,15099
felons,0.7934737,0.20652628,477,4798
movement,0.79350424,0.20649576,4523,47705
nazi,0.7936444,0.20635557,3472,33531
cnn,0.7937422,0.20625782,3626,72086
illegally,0.79388154,0.20611846,1595,20217
capitol,0.7939334,0.20606661,2711,25497
putin,0.7941654,0.20583463,5767,31814
country,0.7948301,0.20516992,40939,373284
current,0.7950232,0.2049768,9871,81385
county,0.7951243,0.20487571,3726,35550
pandemic,0.79549086,0.20450914,3894,45832
east,0.79552364,0.20447636,1925,26893
comment,0.79554945,0.20445055,23149,128979
israel,0.79570615,0.20429385,2019,33264
york,0.7957963,0.20420372,4214,36781
attacks,0.79580796,0.20419204,3919,29049
dc,0.795977,0.204023,2959,28614
penalty,0.79609835,0.20390165,1409,12224
terrorists,0.7967192,0.2032808,2733,27928
debunked,0.7968013,0.20319867,502,6560
eligible,0.7969335,0.20306653,1211,7097
disproportionately,0.7971792,0.20282078,564,5257
covid,0.7974068,0.2025932,7716,193233
fake,0.79742754,0.20257246,5378,67180
disease,0.797621,0.20237899,1629,28157
obama,0.7977495,0.20225048,30207,203134
banning,0.79784745,0.20215255,2140,22335
freedoms,0.7978548,0.20214522,1045,13723
guard,0.7979828,0.20201719,1447,15114
minorities,0.7980633,0.20193672,3441,27830
