word,trend,h,p,z,slope,n_obs
chief,no trend,False,0.1194709867717007,1.556997888323046,0.0049918095270792,11
penalty,no trend,False,0.1194709867717007,1.556997888323046,0.0076761245727538,11
sentiment,no trend,False,0.1194709867717007,1.556997888323046,0.0096613367398579,11
gay,no trend,False,0.1524062839567492,1.4310835055998654,0.0065499305725097,10
ballots,no trend,False,0.1524062839567492,1.4310835055998654,0.0083440674675835,10
jews,no trend,False,0.1524062839567492,1.4310835055998654,0.0106739004453023,10
islam,no trend,False,0.1524062839567492,1.4310835055998654,0.007863312959671,10
prosecuted,no trend,False,0.1524062839567492,1.4310835055998654,0.0067492127418518,10
mexican,no trend,False,0.1524062839567492,1.4310835055998654,0.0062500834465026,10
latino,no trend,False,0.1524062839567492,1.4310835055998654,0.013826032479604,10
ally,no trend,False,0.1524062839567492,1.4310835055998654,0.0121065122740609,10
any,no trend,False,0.1611249492890518,1.4012980994907414,0.0056850016117096,11
white,no trend,False,0.1611249492890518,1.4012980994907414,0.0079515576362609,11
minimum,no trend,False,0.1611249492890518,1.4012980994907414,0.0102276404698689,11
military,no trend,False,0.1611249492890518,1.4012980994907414,0.0040464401245117,11
policies,no trend,False,0.1611249492890518,1.4012980994907414,0.0029957635062081,11
race,no trend,False,0.1611249492890518,1.4012980994907414,0.0035362413951328,11
kids,no trend,False,0.1611249492890518,1.4012980994907414,0.00384454925855,11
income,no trend,False,0.1611249492890518,1.4012980994907414,0.0038377404212951,11
paying,no trend,False,0.1611249492890518,1.4012980994907414,0.0030809789896011,11
protect,no trend,False,0.1611249492890518,1.4012980994907414,0.0056939721107482,11
twitter,no trend,False,0.1611249492890518,1.4012980994907414,0.0068577527999877,11
senator,no trend,False,0.1611249492890518,1.4012980994907414,0.0074754357337951,11
labor,no trend,False,0.1611249492890518,1.4012980994907414,0.0048697710037231,11
faith,no trend,False,0.1611249492890518,-1.4012980994907414,-0.0085262060165405,11
individuals,no trend,False,0.1611249492890518,1.4012980994907414,0.0073135375976562,11
moral,no trend,False,0.1611249492890518,-1.4012980994907414,-0.0039249261220296,11
aca,no trend,False,0.1611249492890518,1.4012980994907414,0.0047534227371215,11
biased,no trend,False,0.1611249492890518,1.4012980994907414,0.0111652091145515,11
representatives,no trend,False,0.1611249492890518,1.4012980994907414,0.0069500889096941,11
armed,no trend,False,0.1611249492890518,1.4012980994907414,0.009566307067871,11
innocent,no trend,False,0.1611249492890518,1.4012980994907414,0.0074323862791061,11
trial,no trend,False,0.1611249492890518,1.4012980994907414,0.0046310424804687,11
west,no trend,False,0.1611249492890518,1.4012980994907414,0.0104896426200866,11
capitalism,no trend,False,0.1611249492890518,1.4012980994907414,0.0087342602866036,11
muslim,no trend,False,0.1611249492890518,1.4012980994907414,0.005474530160427,11
attacked,no trend,False,0.1611249492890518,1.4012980994907414,0.0070729255676269,11
authoritarian,no trend,False,0.1611249492890518,1.4012980994907414,0.0117783844470977,11
teachers,no trend,False,0.1611249492890518,1.4012980994907414,0.0082195997238159,11
reelection,no trend,False,0.1611249492890518,1.4012980994907414,0.0111767575144767,11
forcing,no trend,False,0.1611249492890518,1.4012980994907414,0.0057660142580668,11
duty,no trend,False,0.1611249492890518,1.4012980994907414,0.0043957829475402,11
arrest,no trend,False,0.1611249492890518,1.4012980994907414,0.0083166733384132,11
lgbt,no trend,False,0.1611249492890518,1.4012980994907414,0.0092095971107483,11
msnbc,no trend,False,0.1611249492890518,1.4012980994907414,0.0079457759857177,11
hypocritical,no trend,False,0.1611249492890518,1.4012980994907414,0.0111379623413085,11
freedoms,no trend,False,0.1611249492890518,1.4012980994907414,0.0105459094047546,11
council,no trend,False,0.1611249492890518,1.4012980994907414,0.0109180510044097,11
impeach,no trend,False,0.1753080808082736,1.355343691370986,0.0125010567052023,9
supremacist,no trend,False,0.1753080808082736,1.355343691370986,0.0158338199059168,9
