word,"shift score time: 1-9, 2009-2018","shift score time: 10-14, 2018-2023",shift_B-A
ideological,0.249878704547882,0.2372886,-0.012590104547882008
outraged,0.3323580622673034,0.3197676,-0.012590462267303426
proven,0.1844725012779235,0.17183244,-0.012640061277923498
conflict,0.2321566343307495,0.21933657,-0.012820064330749503
farleft,0.3814426064491272,0.36845505,-0.012987556449127191
crime,0.1556037068367004,0.14259648,-0.013007226836700414
christian,0.204522430896759,0.19126964,-0.013252790896759015
facts,0.1433477401733398,0.13001788,-0.013329860173339786
hollywood,0.3347078561782837,0.32128263,-0.013425226178283678
partisan,0.2218753695487976,0.20836258,-0.013512789548797616
cohen,0.2377698421478271,0.22394341,-0.013826432147827084
liberalism,0.2865572571754455,0.2726655,-0.013891757175445496
law,0.1275200843811035,0.11342317,-0.014096914381103484
tax,0.0962086915969848,0.081870854,-0.014337837596984787
appears,0.4654144644737243,0.45106637,-0.014348094473724315
middle,0.1375695466995239,0.12319249,-0.014377056699523896
latino,0.3183456659317016,0.30396658,-0.014379085931701618
jefferson,0.2390305995941162,0.22461975,-0.014410849594116204
mobs,0.3781877160072326,0.36376846,-0.014419256007232595
redistribution,0.3184568285942077,0.30390346,-0.014553368594207694
dementia,0.2921520471572876,0.27759063,-0.014561417157287593
society,0.1287769675254821,0.1141904,-0.014586567525482097
cases,0.1904484629631042,0.17566192,-0.014786542963104193
opposition,0.2123162150382995,0.19746315,-0.014853065038299501
communist,0.2794541716575622,0.2644676,-0.014986571657562175
diversity,0.2797278761863708,0.264593,-0.015134876186370771
individuals,0.1981263160705566,0.18282533,-0.015300986070556605
constitutional,0.2195137739181518,0.20411444,-0.015399333918151792
justice,0.165610671043396,0.15014929,-0.015461381043396005
winner,0.2046867609024047,0.18905085,-0.01563591090240471
bill,0.1379233002662658,0.12226987,-0.01565343026626581
corrupt,0.2508226037025451,0.23515838,-0.01566422370254511
population,0.1345988512039184,0.11887443,-0.0157244212039184
manafort,0.2941223382949829,0.27820563,-0.01591670829498293
supremacy,0.3381478786468506,0.32180637,-0.016341508646850578
statement,0.1646513938903808,0.14808619,-0.016565203890380797
limbaugh,0.3020142912864685,0.28539002,-0.016624271286468484
house,0.1525431871414184,0.13581693,-0.0167262571414184
arrest,0.2673750519752502,0.25061494,-0.01676011197525018
supporters,0.1948080658912658,0.17803788,-0.016770185891265804
mayor,0.2901935577392578,0.27339154,-0.016802017739257824
union,0.1735496520996093,0.15656912,-0.016980532099609286
voting,0.1307923793792724,0.11371291,-0.017079469379272405
actual,0.1981717348098755,0.1810013,-0.017170434809875484
fbi,0.2026821374893188,0.18514168,-0.01754045748931879
political,0.1325699090957641,0.11481333,-0.0177565790957641
reelected,0.2271280288696289,0.2093113,-0.0178167288696289
washington,0.2235006093978881,0.20563763,-0.017862979397888112
land,0.1599985361099243,0.14202845,-0.017970086109924288
left,0.2643821239471435,0.24633312,-0.01804900394714351
peace,0.2168590426445007,0.19880497,-0.018054072644500707
altright,0.3099793791770935,0.29182202,-0.01815735917709349
businesses,0.1707831621170044,0.15259218,-0.0181909821170044
court,0.1410207152366638,0.12282306,-0.018197655236663793
investigation,0.1443269252777099,0.12603629,-0.01829063527770991
medical,0.132379412651062,0.113962114,-0.01841729865106201
power,0.1238937377929687,0.10539007,-0.018503667792968692
veteran,0.3171555995941162,0.29844034,-0.018715259594116185
state,0.1491947770118713,0.13041568,-0.018779097011871304
duty,0.2488065361976623,0.2299813,-0.0188252361976623
george,0.2227597832679748,0.20391071,-0.018849073267974803
free,0.153908371925354,0.13502502,-0.01888335192535401
unpopular,0.2517746686935425,0.23264301,-0.01913165869354247
gang,0.3587710857391357,0.33950347,-0.019267615739135713
unbiased,0.2691420912742615,0.2493437,-0.019798391274261473
racist,0.2162630558013916,0.19630921,-0.01995384580139159
idiotic,0.3084115982055664,0.2883641,-0.020047498205566394
trial,0.1996852755546569,0.17954677,-0.020138505554656905
armed,0.1972169876098632,0.17703807,-0.020178917609863206
felon,0.3539881110191345,0.33367884,-0.020309271019134545
schools,0.1803506016731262,0.15990841,-0.020442191673126192
